run_id,seed,model_key,model,model_type,dataset_protocol,dataset_sha256,sampling_interval_s,horizon,horizon_steps,horizon_s,metric,value,timestamp,subset_ratio,epochs,batch_size,prediction_horizons,train_supervision_protocol,eval_protocol,label_len,mixed_precision,mixed_precision_dtype,cache_physics_prior,physics_prior_cache_batch_size,checkpoint
formal_sota_seed42_baseline_20260807_161707,42,baseline,Transformer (baseline),transformer,hgv_multiregime_state_v2_1,526d50d05b14ed17f9093249cbb5a382f526468e36723457c08c790d449112e7,1.0,32,32,32.0,ade,22421.830558212867,20260807_161707,1.0,50,128,"32,64,128,256",source_context_pred_window,source_context_decoder,128,False,float32,True,512,D:\OneDrive\02_Study\2024_NJUST\Trajectory  Prediction\HGV_Project\HGVTP_PLGAformer-main\experiments\exp1_sota\trained_models\formal_v3\hgv_multiregime_state_v2_1\final\formal_sota_seed42_baseline_20260807_161707.pth
formal_sota_seed42_baseline_20260807_161707,42,baseline,Transformer (baseline),transformer,hgv_multiregime_state_v2_1,526d50d05b14ed17f9093249cbb5a382f526468e36723457c08c790d449112e7,1.0,32,32,32.0,fde,23361.827150651927,20260807_161707,1.0,50,128,"32,64,128,256",source_context_pred_window,source_context_decoder,128,False,float32,True,512,D:\OneDrive\02_Study\2024_NJUST\Trajectory  Prediction\HGV_Project\HGVTP_PLGAformer-main\experiments\exp1_sota\trained_models\formal_v3\hgv_multiregime_state_v2_1\final\formal_sota_seed42_baseline_20260807_161707.pth
formal_sota_seed42_baseline_20260807_161707,42,baseline,Transformer (baseline),transformer,hgv_multiregime_state_v2_1,526d50d05b14ed17f9093249cbb5a382f526468e36723457c08c790d449112e7,1.0,32,32,32.0,mae,0.05027826082915946,20260807_161707,1.0,50,128,"32,64,128,256",source_context_pred_window,source_context_decoder,128,False,float32,True,512,D:\OneDrive\02_Study\2024_NJUST\Trajectory  Prediction\HGV_Project\HGVTP_PLGAformer-main\experiments\exp1_sota\trained_models\formal_v3\hgv_multiregime_state_v2_1\final\formal_sota_seed42_baseline_20260807_161707.pth
formal_sota_seed42_baseline_20260807_161707,42,baseline,Transformer (baseline),transformer,hgv_multiregime_state_v2_1,526d50d05b14ed17f9093249cbb5a382f526468e36723457c08c790d449112e7,1.0,32,32,32.0,mae_cart_m,10835.486675790107,20260807_161707,1.0,50,128,"32,64,128,256",source_context_pred_window,source_context_decoder,128,False,float32,True,512,D:\OneDrive\02_Study\2024_NJUST\Trajectory  Prediction\HGV_Project\HGVTP_PLGAformer-main\experiments\exp1_sota\trained_models\formal_v3\hgv_multiregime_state_v2_1\final\formal_sota_seed42_baseline_20260807_161707.pth
formal_sota_seed42_baseline_20260807_161707,42,baseline,Transformer (baseline),transformer,hgv_multiregime_state_v2_1,526d50d05b14ed17f9093249cbb5a382f526468e36723457c08c790d449112e7,1.0,32,32,32.0,mse,0.010595549891181206,20260807_161707,1.0,50,128,"32,64,128,256",source_context_pred_window,source_context_decoder,128,False,float32,True,512,D:\OneDrive\02_Study\2024_NJUST\Trajectory  Prediction\HGV_Project\HGVTP_PLGAformer-main\experiments\exp1_sota\trained_models\formal_v3\hgv_multiregime_state_v2_1\final\formal_sota_seed42_baseline_20260807_161707.pth
formal_sota_seed42_baseline_20260807_161707,42,baseline,Transformer (baseline),transformer,hgv_multiregime_state_v2_1,526d50d05b14ed17f9093249cbb5a382f526468e36723457c08c790d449112e7,1.0,32,32,32.0,mse_cart_m2,212664623.52834466,20260807_161707,1.0,50,128,"32,64,128,256",source_context_pred_window,source_context_decoder,128,False,float32,True,512,D:\OneDrive\02_Study\2024_NJUST\Trajectory  Prediction\HGV_Project\HGVTP_PLGAformer-main\experiments\exp1_sota\trained_models\formal_v3\hgv_multiregime_state_v2_1\final\formal_sota_seed42_baseline_20260807_161707.pth
formal_sota_seed42_baseline_20260807_161707,42,baseline,Transformer (baseline),transformer,hgv_multiregime_state_v2_1,526d50d05b14ed17f9093249cbb5a382f526468e36723457c08c790d449112e7,1.0,32,32,32.0,rmse_cart_m,14583.025184382857,20260807_161707,1.0,50,128,"32,64,128,256",source_context_pred_window,source_context_decoder,128,False,float32,True,512,D:\OneDrive\02_Study\2024_NJUST\Trajectory  Prediction\HGV_Project\HGVTP_PLGAformer-main\experiments\exp1_sota\trained_models\formal_v3\hgv_multiregime_state_v2_1\final\formal_sota_seed42_baseline_20260807_161707.pth
formal_sota_seed42_baseline_20260807_161707,42,baseline,Transformer (baseline),transformer,hgv_multiregime_state_v2_1,526d50d05b14ed17f9093249cbb5a382f526468e36723457c08c790d449112e7,1.0,32,32,32.0,trajectory_ade_ci,"{'mean': 22421.83047693865, 'ci_low': 21697.323745546415, 'ci_high': 23134.389195551445, 'confidence': 0.95, 'n': 360}",20260807_161707,1.0,50,128,"32,64,128,256",source_context_pred_window,source_context_decoder,128,False,float32,True,512,D:\OneDrive\02_Study\2024_NJUST\Trajectory  Prediction\HGV_Project\HGVTP_PLGAformer-main\experiments\exp1_sota\trained_models\formal_v3\hgv_multiregime_state_v2_1\final\formal_sota_seed42_baseline_20260807_161707.pth
formal_sota_seed42_baseline_20260807_161707,42,baseline,Transformer (baseline),transformer,hgv_multiregime_state_v2_1,526d50d05b14ed17f9093249cbb5a382f526468e36723457c08c790d449112e7,1.0,32,32,32.0,trajectory_count,360,20260807_161707,1.0,50,128,"32,64,128,256",source_context_pred_window,source_context_decoder,128,False,float32,True,512,D:\OneDrive\02_Study\2024_NJUST\Trajectory  Prediction\HGV_Project\HGVTP_PLGAformer-main\experiments\exp1_sota\trained_models\formal_v3\hgv_multiregime_state_v2_1\final\formal_sota_seed42_baseline_20260807_161707.pth
formal_sota_seed42_baseline_20260807_161707,42,baseline,Transformer (baseline),transformer,hgv_multiregime_state_v2_1,526d50d05b14ed17f9093249cbb5a382f526468e36723457c08c790d449112e7,1.0,32,32,32.0,trajectory_fde_ci,"{'mean': 23361.827179416607, 'ci_low': 22572.21701701262, 'ci_high': 24186.84749679027, 'confidence': 0.95, 'n': 360}",20260807_161707,1.0,50,128,"32,64,128,256",source_context_pred_window,source_context_decoder,128,False,float32,True,512,D:\OneDrive\02_Study\2024_NJUST\Trajectory  Prediction\HGV_Project\HGVTP_PLGAformer-main\experiments\exp1_sota\trained_models\formal_v3\hgv_multiregime_state_v2_1\final\formal_sota_seed42_baseline_20260807_161707.pth
