"horizon","metric","comparator","proposed_mean_m","comparator_mean_m","relative_improvement_percent","p_value_holm","significant_fwer_0_05"
"32","ade","Rotating-Earth 3-DOF","35.6268738352187","35.62687397306002","3.8690264800610353E-07","1","False"
"32","fde","Rotating-Earth 3-DOF","90.02248174448074","90.02248160372525","-1.5635593080139755E-07","1","False"
"64","ade","Rotating-Earth 3-DOF","145.34760361946078","145.3476038045305","1.2732904998623152E-07","0.1319434028298585","False"
"64","fde","Rotating-Earth 3-DOF","464.72014493257694","464.72014509184527","3.427187877112707E-08","1","False"
"128","ade","Rotating-Earth 3-DOF","784.398032800042","764.3198531506093","-2.626934203876583","0.15779211039448027","False"
"128","fde","Rotating-Earth 3-DOF","2648.600557606471","2634.8085495369924","-0.5234538984588502","1","False"
"256","ade","Rotating-Earth 3-DOF","4101.825294325867","4246.440967545828","3.405573616240335","0.49547522623868806","False"
"256","fde","Rotating-Earth 3-DOF","13301.201500671757","14450.790217300571","7.955196216553746","0.0151992400379981","True"
