"model","horizon_s","metric","mean_m","sample_std_m","seed_count"
"Transformer (baseline)","32","ade","10551.809574284584","272.832100522022","3"
"Transformer (baseline)","32","fde","10135.245658888163","1011.4817828132809","3"
"Transformer (baseline)","32","rmse_cart_m","7624.344405824668","150.51491421804","3"
"Transformer (baseline)","64","ade","10544.931193413468","717.605604867053","3"
"Transformer (baseline)","64","fde","10454.827983752255","1881.7600182515391","3"
"Transformer (baseline)","64","rmse_cart_m","7586.176964749105","404.56551276362364","3"
"Transformer (baseline)","128","ade","11443.485045909505","882.9735099800384","3"
"Transformer (baseline)","128","fde","14710.28634802496","1271.2594602628856","3"
"Transformer (baseline)","128","rmse_cart_m","8123.115486785816","522.5791317595763","3"
"Transformer (baseline)","256","ade","16378.405800922197","1501.800399940411","3"
"Transformer (baseline)","256","fde","32393.271831831284","1695.939528493068","3"
"Transformer (baseline)","256","rmse_cart_m","11670.91849753142","860.0140239879585","3"
"PLGAFormer (proposed)","32","ade","35.6268738352187","1.1921896953017833E-07","3"
"PLGAFormer (proposed)","32","fde","90.02248174448074","4.794290530707521E-07","3"
"PLGAFormer (proposed)","32","rmse_cart_m","44.341264722813946","1.0590880054227145E-07","3"
"PLGAFormer (proposed)","64","ade","145.34760361946078","1.0000304590016587E-07","3"
"PLGAFormer (proposed)","64","fde","464.72014493257694","1.1498440754409083E-06","3"
"PLGAFormer (proposed)","64","rmse_cart_m","207.4422673050964","8.082578404558874E-08","3"
"PLGAFormer (proposed)","128","ade","784.398032800042","40.74569030311714","3"
"PLGAFormer (proposed)","128","fde","2648.600557606471","166.70581881497094","3"
"PLGAFormer (proposed)","128","rmse_cart_m","937.5122797155612","24.16993402059595","3"
"PLGAFormer (proposed)","256","ade","4101.825294325867","195.66581590599617","3"
"PLGAFormer (proposed)","256","fde","13301.201500671757","1031.993946718773","3"
"PLGAFormer (proposed)","256","rmse_cart_m","4420.327951575045","142.27910473323672","3"
"Spherical kinematics","32","ade","379.93862462385556","0","1"
"Spherical kinematics","32","fde","1086.344070883242","0","1"
"Spherical kinematics","32","rmse_cart_m","320.62917097135403","0","1"
"Spherical kinematics","64","ade","1475.6234900369132","0","1"
"Spherical kinematics","64","fde","4304.295960114228","0","1"
"Spherical kinematics","64","rmse_cart_m","1247.5607706763676","0","1"
"Spherical kinematics","128","ade","5729.592377389191","0","1"
"Spherical kinematics","128","fde","16752.499935831343","0","1"
"Spherical kinematics","128","rmse_cart_m","4824.763617486959","0","1"
"Spherical kinematics","256","ade","21720.050180806964","0","1"
"Spherical kinematics","256","fde","62697.3930754113","0","1"
"Spherical kinematics","256","rmse_cart_m","18092.83705654391","0","1"
"Rotating-Earth 3-DOF","32","ade","35.62687397306002","0","1"
"Rotating-Earth 3-DOF","32","fde","90.02248160372525","0","1"
"Rotating-Earth 3-DOF","32","rmse_cart_m","44.34126475069742","0","1"
"Rotating-Earth 3-DOF","64","ade","145.3476038045305","0","1"
"Rotating-Earth 3-DOF","64","fde","464.72014509184527","0","1"
"Rotating-Earth 3-DOF","64","rmse_cart_m","207.4422675878703","0","1"
"Rotating-Earth 3-DOF","128","ade","764.3198531506093","0","1"
"Rotating-Earth 3-DOF","128","fde","2634.8085495369924","0","1"
"Rotating-Earth 3-DOF","128","rmse_cart_m","1058.802159539455","0","1"
"Rotating-Earth 3-DOF","256","ade","4246.440967545828","0","1"
"Rotating-Earth 3-DOF","256","fde","14450.790217300571","0","1"
"Rotating-Earth 3-DOF","256","rmse_cart_m","5698.140864095857","0","1"
"DLinear","32","ade","583.6495188001049","21.874668950424606","3"
"DLinear","32","fde","1469.1460049685845","79.5099359862843","3"
"DLinear","32","rmse_cart_m","458.8281440384896","19.834181876236766","3"
"DLinear","64","ade","2175.7472700395933","66.7832067309369","3"
"DLinear","64","fde","6436.084342432121","148.48559848954147","3"
"DLinear","64","rmse_cart_m","1881.057608266943","61.47731460488813","3"
"DLinear","128","ade","8321.677240587613","48.33015789512475","3"
"DLinear","128","fde","23178.814534770896","113.05436835175458","3"
"DLinear","128","rmse_cart_m","7125.8715061717785","20.516797251429033","3"
"DLinear","256","ade","25635.07845290631","29.117943083820954","3"
"DLinear","256","fde","63832.77262865817","194.9655160476296","3"
"DLinear","256","rmse_cart_m","21110.33044850435","8.427360600541332","3"
"PatchTST","32","ade","53074.84127654839","13223.381391720099","3"
"PatchTST","32","fde","84540.39631504305","70951.58665775064","3"
"PatchTST","32","rmse_cart_m","36217.92720921567","9220.372391810217","3"
"PatchTST","64","ade","64808.06233214368","5044.190372018364","3"
"PatchTST","64","fde","94517.47171067256","10845.444428000448","3"
"PatchTST","64","rmse_cart_m","43246.52922089962","3266.29200857074","3"
"PatchTST","128","ade","74382.5073290199","5345.387863151232","3"
"PatchTST","128","fde","92012.09754703607","24211.12119857284","3"
"PatchTST","128","rmse_cart_m","48352.650245087134","1246.7463808740117","3"
"PatchTST","256","ade","96336.2943118369","6533.955539438356","3"
"PatchTST","256","fde","147584.3034530996","3987.6891642101505","3"
