condition,model,ade_mean_m,ade_sample_std_m,fde_mean_m,fde_sample_std_m,trajectory_count,seed_count
nominal,transformer,15072.6884765625,1314.0758677731842,28879.139973958332,1231.3229316362613,360,3
nominal,plgaformer,4868.11962890625,238.74603042947476,14224.9169921875,1391.7040558332756,360,3
nominal,rotating_3dof,6144.6484375,0.0,21628.669921875,0.0,360,1
aero_shift,transformer,20130.305338541668,1689.4665066500988,38904.419270833336,1710.237676155169,360,3
aero_shift,plgaformer,4854.552571614583,293.19102481777065,12795.795247395834,1112.401921722633,360,3
aero_shift,rotating_3dof,5370.58642578125,0.0,14439.125,0.0,360,1
ballistic_shift,transformer,15868.6640625,1213.7622995572517,30596.719401041668,781.7226806549937,360,3
ballistic_shift,plgaformer,5029.336263020833,25.64779227393444,13142.25,348.2761690490502,360,3
ballistic_shift,rotating_3dof,5004.00048828125,0.0,13252.3056640625,0.0,360,1
