model,params,flops_mflops,peak_inference_memory_mb,latency_batch1_ms,throughput_batch_size,throughput_trajectories_s,ADE_256_m,FDE_256_m,RMSE_256_m
PLGAFormer,4546317,3021.65602,849.215488,491.43567999999505,64,121.87162860703639,4815.9016847363955,14349.538797063964,4589.971144924588
Transformer,2641667,886.679552,725.528064,5.8286840000073425,64,3285.9671437993006,16378.405845350293,32393.271899506333,11670.91849753142
iTransformer,1711616,7.947846,46.339072,2.8958839998813346,64,24596.50206845894,7058.973331502741,18060.54742388275,6546.139599095629
PatchTST,3681536,240.995334,205.617664,3.1992139999056235,64,12836.857184796487,96336.29441373772,147584.30304941421,62015.43638452821
DLinear,131584,1.5744,36.870144,0.46703600004548207,64,106306.28834217644,25635.078475470047,63832.77259542706,21110.33044850435
Spherical kinematics,0,0.001237,35.454976,0.8432200000970624,64,69676.24497763158,21720.050161210318,62697.39298469388,18092.83705654391
Rotating-Earth 3-DOF,0,0.012808,35.403776,409.1316039999947,64,157.83713796876714,4246.440966298629,14450.790147790887,5698.140864095857
