experiment,phase,seed,eval_protocol,eval_ar_seed_mode,train_supervision_protocol,optimizer_profile,strict_repro_mode,scenario_type,scenario_value,model,horizon,metric,value
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),64,mae_mean,0.2768847952829674
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),64,mae_std,0.09877434594091028
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),64,fde_mean,389927.49182128906
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),64,fde_std,266623.66833496094
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),64,ade_mean,521315.99267578125
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),64,ade_std,340835.34423828125
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),128,mse_mean,0.18465395888779312
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),128,mse_std,0.07495646888855845
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),128,mae_mean,0.2588178204605356
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),128,mae_std,0.08908901398535818
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),128,fde_mean,345395.75897216797
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),128,fde_std,222216.07061767578
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),128,ade_mean,440338.37322998047
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),128,ade_std,291116.79766845703
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),256,mse_mean,0.18465395888779312
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),256,mse_std,0.07495646888855845
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),256,mae_mean,0.2588178204605356
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),256,mae_std,0.08908901398535818
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),256,fde_mean,345395.75897216797
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),256,fde_std,222216.07061767578
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),256,ade_mean,440338.37322998047
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PLGAFormer (proposed),256,ade_std,291116.79766845703
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,32,mse_mean,0.001080086730326002
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,32,mse_std,6.689321708108764e-06
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,32,mae_mean,0.019477842812193558
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,32,mae_std,7.927455590106547e-05
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,32,fde_mean,15282.075759887695
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,32,fde_std,632.6998748779297
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,32,ade_mean,15801.107696533203
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,32,ade_std,115.01425170898438
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,64,mse_mean,0.0010385578666500805
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,64,mse_std,1.1628222182480386e-05
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,64,mae_mean,0.0191174166102428
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,64,mae_std,0.00019108326523564756
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,64,fde_mean,16049.958503723145
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,64,fde_std,1292.2470474243164
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,64,ade_mean,15712.787467956543
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,64,ade_std,521.881477355957
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,128,mse_mean,0.0010088193816955027
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,128,mse_std,1.361281420031446e-05
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,128,mae_mean,0.01908766376436688
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,128,mae_std,0.00012410717317834496
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,128,fde_mean,22722.269424438477
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,128,fde_std,2511.685073852539
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,128,ade_mean,16997.97723388672
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,128,ade_std,598.9587860107422
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,256,mse_mean,0.0010088193816955027
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,256,mse_std,1.361281420031446e-05
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,256,mae_mean,0.01908766376436688
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,256,mae_std,0.00012410717317834496
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,256,fde_mean,22722.269424438477
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,256,fde_std,2511.685073852539
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,256,ade_mean,16997.97723388672
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PIT,256,ade_std,598.9587860107422
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,32,mse_mean,0.20033575873821974
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,32,mse_std,0.0
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,32,mae_mean,0.27312524407170713
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,32,mae_std,0.0
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,32,fde_mean,252715.078125
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,32,fde_std,0.0
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,32,ade_mean,283664.431640625
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,32,ade_std,0.0
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,64,mse_mean,0.29133653617464006
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,64,mse_std,0.0
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,64,mae_mean,0.3079237826168537
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,64,mae_std,0.0
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,64,fde_mean,297046.74951171875
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,64,fde_std,0.0
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,64,ade_mean,275948.57568359375
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,64,ade_std,0.0
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,128,mse_mean,0.23729781922884285
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Kalman,128,mse_std,0.0
